SN,tel,eng,names,finalised
100,కొలంబియా ఆసియా హాస్పిటల్,Columbia Asia హాస్పిటల్,కొలంబియా ఆసియ హాస్పిటల్,కొలంబియా ఆసియా హాస్పిటల్
101,మెటాంటా - ది డెక్రిటీ,Medanta â The Medicity,మేదాంత â ది మెడిసిటీ,మేదాంత â ది మెడిసిటీ
102,"మెట్రో హాస్పిటల్ అండ్ క్యాన్సర్ ఇన్స్టిట్యూట్, ప్రీత్ విహార్ ","Metro హాస్పిటల్ అండ్ Cancer Institute, Preet Vihar ","మెట్రో హాస్పిటల్ అండ్ కాన్సర్ Institute, ప్రీత్ విహార్","మెట్రో హాస్పిటల్ అండ్ క్యాన్సర్ ఇన్స్టిట్యూట్, ప్రీత్ విహార్ "
103,జిల్లా ప్రభుత్వం. హెడ్ క్వార్టర్స్ హాస్పిటల్,District ప్రభుత్వ Head Quarters హాస్పిటల్,డిస్ట్రిక్ట్ ప్రభుత్వ హెడ్ క్వార్టర్స్ హాస్పిటల్,జిల్లా ప్రభుత్వ. హెడ్ క్వార్టర్స్ హాస్పిటల్
104,రెయిన్బో పిల్లల మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,Rainbow Children's Medicare ప్రైవేట్. లిమిటెడ్ .,రెయిన్బో Children's మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,రెయిన్బో పిల్లల మెడికేర్ ప్రైవేట్. లిమిటెడ్ .
105,"కొలంబియా ఆసియా రెఫరల్ హాస్పిటల్, యశ్వంత్పూర్ ","Columbia Asia Referral హాస్పిటల్, Yeshwanthpur","కొలంబియా ఆసియ రెఫరల్ హాస్పిటల్, యశ్వంతాపూర్","కొలంబియా ఆసియా రెఫరల్ హాస్పిటల్, యశ్వంత్పూర్ "
106,స్టార్ హాస్పిటల్స్,Star హాస్పిటల్స్,స్టార్ హాస్పిటల్స్,స్టార్ హాస్పిటల్స్
107,ఫోర్టిస్ ఎస్కార్ట్ హాస్పిటల్,Fortis Escorts హాస్పిటల్,ఫోర్టిస్ ఎస్కార్ట్స్ హాస్పిటల్,ఫోర్టిస్ ఎస్కార్ట్ హాస్పిటల్
108,V.g.m. ఆసుపత్రి,V.G.M. హాస్పిటల్,V.G.M. హాస్పిటల్,V.g.m. ఆసుపత్రి
109,L.v.v. ప్యాలెస్ ఇన్స్టిట్యూట్,L.V. Prasad Eye Institute,L.V. ప్రసాద్ ఐ ఇన్స్టిట్యూట్,L.V. ప్రసాద్ ఐ ఇన్స్టిట్యూట్
110,"ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, నాగరాభవి ","Fortis హాస్పిటల్స్ లిమిటెడ్ .,Nagarabhavi ","ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్ .,Nagarabhavi","ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, నాగరాభవి "
111,అపోలో హాస్పిటల్స్,Apollo హాస్పిటల్స్,అపోలో హాస్పిటల్స్,అపోలో హాస్పిటల్స్
112,ఆస్టర్ మిమ్స్ హాస్పిటల్,Aster MIMS హాస్పిటల్,అస్తెర్ మిమ్స్ హాస్పిటల్,ఆస్టర్ మిమ్స్ హాస్పిటల్
113,మజూర్దర్ షా మెడికల్ సెంటర్ (నారాయణ హుడాయలయ ప్రెవేట్ యొక్క యూనిట్. లిమిటెడ్ .),Mazumdar Shaw Medical Centre (Unit of Narayana Hrudayalaya ప్రైవేట్. లిమిటెడ్ .),మజయందర్ షా మెడికల్ సెంటర్ (Unit అఫ్ నారాయణ హృదయాలయ ప్రైవేట్. లిమిటెడ్ .),మజుమ్దార్ షా మెడికల్ సెంటర్ (నారాయణ హృదయాలయ లిమిటెడ్  యూనిట్.)
114,"యశోద సూపర్ స్పెషాలిటీ హాస్పిటల్, మలక్క్పెట్ ","యశోద Super Speciality హాస్పిటల్, Malakpet","యశోద సూపర్ స్పెషలిటీ హాస్పిటల్, మలక్పేట్","యశోద సూపర్ స్పెషాలిటీ హాస్పిటల్, మలక్క్పెట్ "
115,సర్వోదయ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Sarvodaya హాస్పిటల్ అండ్ Research Centre,సర్వోదయ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,సర్వోదయ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
116,ఆసియా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్,Asian Institute of Medical Sciences,ఆసియన్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్,ఆసియా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్
117,డాక్టర్ బాల్బాయి నానవాతి హాస్పిటల్,Dr. Balabhai Nanavati హాస్పిటల్,Dr. బాలభై నానావతి హాస్పిటల్,Dr. బాలభై నానావతి హాస్పిటల్
118,డ్యూన్ హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్ (P. N. మెమోరియల్ న్యూరోసెంట్రే అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ లిమిటెడ్ యూనిట్),Desun హాస్పిటల్ అండ్ Heart Institute (A Unit of P. N. Memorial Neurocentre అండ్ Research Institute లిమిటెడ్ .),దేసుం హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్ (యూనిట్ అఫ్ P. N. మెమోరియల్ నెఉరోసెంట్రీ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ లిమిటెడ్ .),దేసుం హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్ ( యూనిట్ అఫ్ P. N. మెమోరియల్ నెఉరోసెంట్రీ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ లిమిటెడ్ .)
119,జీవాన్ మాలా హాస్పిటల్ ప్రెవేట్. లిమిటెడ్ .,Jeewan Mala హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,జీవన్ మల హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,జీవాన్ మాలా హాస్పిటల్ ప్రెవేట్. లిమిటెడ్ .
120,మాల్య ఆసుపత్రి,Mallya హాస్పిటల్,మల్లయ్య హాస్పిటల్,మాల్య ఆసుపత్రి
121,గంగా కేర్ హాస్పిటల్ లిమిటెడ్ (ఏ ఆసుపత్రి),Ganga Care హాస్పిటల్ లిమిటెడ్ . (Care హాస్పిటల్),గంగ కేర్ హాస్పిటల్ లిమిటెడ్ . (Care హాస్పిటల్),గంగా కేర్ హాస్పిటల్ లిమిటెడ్ (కేర్ ఆసుపత్రి)
122,బెంగళూరు బాప్టిస్ట్ హాస్పిటల్,Bangalore Baptist హాస్పిటల్,బెంగుళూరు బాప్టిస్ట్ హాస్పిటల్,బెంగళూరు బాప్టిస్ట్ హాస్పిటల్
123,కృష్ణ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ లిమిటెడ్.,Krishna Institute of Medical Sciences లిమిటెడ్ .,కృష్ణ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ లిమిటెడ్ .,కృష్ణ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ లిమిటెడ్.
